waveform	[0]	[1]	[2]
t0	2023-02-25  12:35:45.046400	2023-02-25  12:35:45.046400	2023-02-25  12:35:45.046400
delta t	4.980000E-5	4.980000E-5	4.980000E-5

time	Y[0]	Y[1]	Y[2]
2023-02-25  12:35:45.058402	4.508057E+1	7.324219E-2	5.303345E+1
2023-02-25  12:35:45.058452	4.509888E+1	7.934570E-2	5.308228E+1
2023-02-25  12:35:45.058502	4.519043E+1	7.324219E-2	5.311279E+1
2023-02-25  12:35:45.058551	4.507446E+1	6.713867E-2	5.296021E+1
2023-02-25  12:35:45.058601	4.511719E+1	-1.831055E-2	5.310059E+1
2023-02-25  12:35:45.058651	4.528198E+1	3.662109E-2	5.299683E+1
2023-02-25  12:35:45.058701	4.520874E+1	4.272461E-2	5.302734E+1
2023-02-25  12:35:45.058751	4.515991E+1	6.103516E-2	5.304565E+1
2023-02-25  12:35:45.058800	4.520264E+1	6.103516E-2	5.302124E+1
2023-02-25  12:35:45.058850	4.509277E+1	5.493164E-2	5.309448E+1
2023-02-25  12:35:45.058900	4.516602E+1	3.051758E-2	5.291138E+1
2023-02-25  12:35:45.058950	4.497070E+1	6.103516E-2	5.302124E+1
2023-02-25  12:35:45.059000	4.525757E+1	8.544922E-2	5.292358E+1
2023-02-25  12:35:45.059049	4.493408E+1	7.324219E-2	5.316772E+1
2023-02-25  12:35:45.059099	4.514771E+1	4.882812E-2	5.310059E+1
2023-02-25  12:35:45.059149	4.509888E+1	4.882812E-2	5.304565E+1
2023-02-25  12:35:45.059199	4.515381E+1	6.103516E-2	5.294189E+1
2023-02-25  12:35:45.059249	4.515381E+1	1.831055E-2	5.299072E+1
2023-02-25  12:35:45.059298	4.519653E+1	4.272461E-2	5.301514E+1
2023-02-25  12:35:45.059348	4.501343E+1	4.882812E-2	5.295410E+1
2023-02-25  12:35:45.059398	4.506836E+1	5.493164E-2	5.303345E+1
2023-02-25  12:35:45.059448	4.504395E+1	8.544922E-2	5.304565E+1
